node depth weight,time to finish weight,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1.6,0.2,99.11330049261083,0.9987192118226601,620.8,373.61773399014777,619.0975369458129,14.813793103448276,65249.583251231525,451.79507389162563
1.6,0.4,99.11330049261083,0.9987093596059113,613.0926108374384,373.53399014778324,611.6541871921182,14.599014778325124,60466.26502463054,450.3665024630542
1.6,0.6,99.11330049261083,0.9987192118226601,651.3467980295567,373.58128078817737,649.4975369458128,15.45615763546798,68088.02463054187,449.8305418719212
1.6,0.8,99.11330049261083,0.9987192118226601,612.0857142857143,373.4837438423645,610.5842364532019,14.578325123152709,65484.808866995074,455.7014778325123
1.6,1.0,99.11330049261083,0.9987192118226601,616.3133004926109,373.543842364532,614.7881773399015,14.695566502463054,65827.61083743842,451.2857142857143
1.6,1.2,99.11330049261083,0.9987192118226601,614.2019704433498,373.4729064039409,612.7349753694581,14.645320197044335,65526.51724137931,460.19014778325123
1.6,1.4,99.11330049261083,0.9987192118226601,612.960591133005,373.53399014778324,611.3822660098522,14.588177339901478,65707.93103448275,464.9694581280788
1.6,1.6,99.11330049261083,0.9987192118226601,615.7310344827587,373.54679802955667,614.3546798029556,14.655172413793103,65815.78522167487,458.49458128078817
1.6,1.8,99.11330049261083,0.9987192118226601,622.2206896551725,373.59704433497535,620.6857142857143,14.796059113300492,65950.84926108374,454.82068965517243
1.6,2.0,99.11330049261083,0.9987192118226601,614.5596059113301,373.4522167487685,612.5733990147784,14.667980295566503,65492.43349753695,454.0088669950739
1.8,0.2,99.11330049261083,0.9987192118226601,617.3182266009852,373.4758620689655,615.5556650246306,14.677832512315272,65907.83251231528,454.6788177339902
1.8,0.4,99.11330049261083,0.9987192118226601,613.4768472906404,373.48571428571427,611.9093596059113,14.609852216748768,65675.88472906404,455.6965517241379
1.8,0.6,99.11330049261083,0.9987192118226601,626.8226600985222,373.535960591133,625.1901477832512,14.921182266009852,66925.82167487685,464.41379310344826
1.8,0.8,99.11330049261083,0.9987192118226601,614.6423645320197,373.543842364532,613.0581280788177,14.676847290640394,65387.80197044335,452.24039408867
1.8,1.0,99.11330049261083,0.9987192118226601,608.7172413793104,373.46009852216747,607.1911330049261,14.554679802955665,64876.79802955665,449.13793103448273
1.8,1.2,99.11330049261083,0.9987192118226601,616.7507389162562,373.5576354679803,615.2443349753695,14.705418719211822,65231.729064039406,465.93004926108375
1.8,1.4,99.11330049261083,0.9987192118226601,613.6433497536946,373.4325123152709,612.1704433497537,14.619704433497537,64213.87881773399,441.5527093596059
1.8,1.6,99.11330049261083,0.9987192118226601,633.5034482758621,373.48571428571427,631.8137931034482,15.701477832512316,58151.79014778325,425.62266009852215
1.8,1.8,99.01477832512316,0.998423645320197,703.8866995073892,374.13399014778327,702.2916256157636,17.337931034482757,54801.2236453202,408.3694581280788
1.8,2.0,99.01477832512316,0.9985221674876847,661.0935960591133,373.9192118226601,659.5891625615764,18.43349753694581,52269.59901477832,377.935960591133
2.0,0.2,99.01477832512316,0.998423645320197,654.6128078817734,374.1182266009852,653.0600985221674,18.532019704433498,52062.99310344827,381.68374384236455
2.0,0.4,99.01477832512316,0.998423645320197,673.9546798029556,373.89556650246305,672.4571428571429,18.736945812807882,51188.21280788178,369.5556650246305
2.0,0.6,98.91625615763546,0.9981280788177339,686.2522167487684,374.61477832512315,684.7960591133005,19.90049261083744,53789.28768472906,376.2128078817734
2.0,0.8,99.11330049261083,0.9987192118226601,632.1743842364532,373.55172413793105,630.7497536945813,17.249261083743843,50004.277832512314,384.5881773399015
2.0,1.0,99.11330049261083,0.9987192118226601,645.1024630541872,373.5645320197044,643.5290640394089,17.804926108374385,50540.540886699506,379.00197044334976
2.0,1.2,99.01477832512316,0.998423645320197,661.0068965517241,373.8906403940887,659.4384236453202,18.057142857142857,51972.52216748768,385.48275862068965
2.0,1.4,99.01477832512316,0.998423645320197,661.831527093596,373.9832512315271,660.4246305418719,18.907389162561575,52492.29261083744,374.2068965517241
2.0,1.6,99.11330049261083,0.9987192118226601,667.8344827586207,373.3635467980296,666.6226600985221,16.24137931034483,56523.8433497537,408.6807881773399
2.0,1.8,99.11330049261083,0.9987192118226601,664.8394088669951,373.5615763546798,663.1881773399015,16.26896551724138,56479.567487684726,416.63152709359605
2.0,2.0,99.11330049261083,0.9987192118226601,687.6325123152709,373.3704433497537,685.7546798029557,16.68472906403941,53191.936945812806,404.86995073891626
2.2,0.2,99.01477832512316,0.998423645320197,747.9201970443349,373.8768472906404,746.1743842364532,18.516256157635468,52039.47881773399,379.78620689655173
2.2,0.4,99.01477832512316,0.9984334975369458,731.9389162561577,374.09950738916257,730.2206896551725,18.247290640394088,51672.890640394085,379.13399014778327
2.2,0.6,99.01477832512316,0.9985221674876847,712.6610837438424,374.04926108374383,710.8965517241379,18.228571428571428,50510.20197044335,375.5320197044335
2.2,0.8,99.11330049261083,0.9987192118226601,717.6866995073891,373.42857142857144,715.9586206896552,17.67487684729064,50910.1881773399,379.2729064039409
2.2,1.0,99.01477832512316,0.998423645320197,699.2630541871921,374.1270935960591,697.8137931034482,17.725123152709358,54530.393103448274,406.98916256157634
2.2,1.2,99.01477832512316,0.998423645320197,665.687684729064,374.06108374384235,664.1556650246306,18.399014778325125,52082.231527093594,375.3064039408867
2.2,1.4,98.91625615763546,0.9982266009852218,694.8738916256158,374.41379310344826,693.2995073891626,19.092610837438425,53261.88965517242,380.8768472906404
2.2,1.6,99.01477832512316,0.998423645320197,700.2955665024631,373.94679802955665,698.903448275862,17.75862068965517,52710.44532019705,385.37931034482756
2.2,1.8,99.11330049261083,0.9987192118226601,674.048275862069,373.4049261083744,672.471921182266,16.94384236453202,50089.087684729064,380.9261083743842
2.2,2.0,99.01477832512316,0.998423645320197,693.9103448275862,374.1241379310345,692.4354679802956,17.411822660098522,54823.40886699507,399.2600985221675
2.4,0.2,99.11330049261083,0.9987192118226601,633.7783251231527,373.6019704433497,632.0866995073892,17.485714285714284,50063.185221674874,383.1182266009852
2.4,0.4,99.11330049261083,0.9987192118226601,624.423645320197,373.2975369458128,622.7694581280788,17.401970443349754,49929.580295566506,384.5694581280788
2.4,0.6,99.11330049261083,0.9987192118226601,667.9487684729064,373.3605911330049,666.4344827586207,16.232512315270935,54150.768472906406,413.9113300492611
2.4,0.8,99.11330049261083,0.9987192118226601,671.4394088669951,373.6472906403941,669.8295566502463,16.055172413793102,54622.72118226601,411.34187192118225
2.4,1.0,99.11330049261083,0.9987192118226601,651.75960591133,373.2689655172414,650.1566502463054,17.751724137931035,50194.810837438425,382.05615763546797
2.4,1.2,99.11330049261083,0.9987192118226601,668.2206896551725,373.4926108374384,666.6354679802955,18.488669950738917,49689.388177339904,371.5527093596059
2.4,1.4,99.01477832512316,0.998423645320197,661.3231527093596,374.1113300492611,659.8334975369459,16.91822660098522,59124.99113300493,412.1408866995074
2.4,1.6,99.11330049261083,0.9987192118226601,612.856157635468,373.45418719211824,611.495566502463,14.738916256157635,63736.86502463054,448.95862068965516
2.4,1.8,99.11330049261083,0.9987192118226601,606.3832512315271,373.47093596059113,605.0315270935961,14.721182266009853,63176.86995073892,440.4975369458128
2.4,2.0,99.11330049261083,0.9987192118226601,610.2630541871921,373.5566502463054,608.5753694581281,14.766502463054188,63675.45221674877,450.90443349753696
2.6,0.2,99.11330049261083,0.9987192118226601,615.7418719211822,373.5881773399015,614.1408866995074,14.878817733990148,63969.02857142857,450.7852216748768
2.6,0.4,99.11330049261083,0.9987192118226601,601.735960591133,373.51231527093597,600.2,14.675862068965516,62928.43448275862,461.43743842364535
2.6,0.6,99.11330049261083,0.9987192118226601,623.9625615763547,373.5073891625616,622.3300492610838,15.036453201970444,65086.50837438423,455.2167487684729
2.6,0.8,99.11330049261083,0.9987192118226601,620.687684729064,373.6305418719212,619.328078817734,15.045320197044335,64618.908374384235,445.9310344827586
2.6,1.0,99.11330049261083,0.9987192118226601,603.2285714285714,373.3950738916256,601.7733990147783,14.679802955665025,63046.21674876847,447.4256157635468
2.6,1.2,99.11330049261083,0.9987192118226601,615.3684729064039,373.48866995073894,613.8689655172413,14.760591133004926,63966.963546798026,453.16453201970444
2.6,1.4,99.11330049261083,0.9987192118226601,611.4098522167487,373.471921182266,609.9251231527094,14.90935960591133,63839.071921182265,451.69162561576354
2.6,1.6,99.11330049261083,0.9987192118226601,607.4591133004926,373.49162561576355,605.7546798029557,14.727093596059113,63596.739901477835,446.4098522167488
2.6,1.8,99.11330049261083,0.9987192118226601,612.9733990147784,373.528078817734,611.3221674876847,14.683743842364532,63968.80689655172,446.7497536945813
