searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,1.4,original,14,true,1.00,6766,290,6764,205,624542,2421
1,1.4,original,15,true,1.00,18905,650,18903,573,1886304,3073
1,1.4,krys,1,false,0.68,5528,183,5528,183,559188,1825
1,1.4,krys,2,false,0.79,32495,999,32494,999,3700393,1762
1,1.4,krys,3,false,0.70,32404,999,32403,999,3510049,2619
1,1.4,krys,4,false,0.66,5702,182,5702,182,569534,2418
1,1.4,krys,5,true,1.00,3827,249,3824,115,406782,2417
1,1.4,krys,6,true,1.00,6442,276,6442,196,712245,3309
1,1.4,krys,7,true,1.00,8018,278,8017,243,884481,3431
1,1.4,krys,8,true,1.00,6306,268,6304,191,610986,2334
1,1.4,krys,9,true,1.00,5271,277,5270,159,576826,3673
1,1.4,krys,10,true,1.00,7919,297,7918,240,835970,2875
1,1.4,krys,11,true,1.00,7785,292,7784,236,774037,3452
1,1.4,krys,12,false,0.70,32555,999,32555,999,3543842,3077
1,1.4,krys,13,true,1.00,7195,267,7195,218,765183,2729
1,1.4,krys,14,false,0.79,32543,999,32541,999,3633475,3288
1,1.4,krys,15,false,0.80,7199,224,7199,224,794957,2506
1,1.4,patternCount,1,false,0.71,7586,243,7586,243,811730,2047
1,1.4,patternCount,2,true,1.00,120,322,117,4,11992,868
1,1.4,patternCount,3,true,1.00,1125,326,1122,34,121926,2076
1,1.4,patternCount,4,true,1.00,3027,346,3025,92,311479,1410
1,1.4,patternCount,5,true,1.00,5958,344,5956,180,682463,2578
1,1.4,patternCount,6,true,1.00,26,328,23,1,2180,494
1,1.4,patternCount,7,true,1.00,28,328,25,1,2666,643
1,1.4,patternCount,8,true,1.00,64,331,60,2,6427,754
1,1.4,patternCount,9,true,1.00,1984,322,1981,60,225984,1150
1,1.4,patternCount,10,true,1.00,2970,326,2968,90,307815,1170
1,1.4,patternCount,11,true,1.00,6707,341,6706,203,656720,988
1,1.4,patternCount,12,true,1.00,3402,334,3400,103,385745,3293
1,1.4,patternCount,13,true,1.00,25,314,22,1,2387,578
1,1.4,patternCount,14,true,1.00,29,321,26,1,2696,819
1,1.4,patternCount,15,true,1.00,4753,322,4751,144,527579,1705
1,1.6,original,1,true,1.00,35,328,32,1,3177,1575
1,1.6,original,2,true,1.00,5629,276,5628,171,549557,2171
1,1.6,original,3,false,0.54,3663,124,3663,124,444501,768
1,1.6,original,4,true,1.00,11351,394,11351,345,1103336,2958
1,1.6,original,5,true,1.00,9625,359,9623,291,889822,2132
1,1.6,original,6,false,0.41,2741,97,2741,97,338370,538
1,1.6,original,7,true,1.00,10856,377,10855,329,800759,2913
1,1.6,original,8,true,1.00,4215,324,4213,128,339860,2613
1,1.6,original,9,true,1.00,4468,334,4465,135,447995,618
1,1.6,original,10,false,0.53,3634,123,3634,123,437593,712
1,1.6,original,11,true,1.00,6504,326,6503,197,662760,1198
1,1.6,original,12,true,1.00,11291,420,11291,342,1099963,2818
1,1.6,original,13,true,1.00,6997,274,6996,212,920634,3297
1,1.6,original,14,true,1.00,895,325,892,27,87256,1799
1,1.6,original,15,true,1.00,13443,672,13438,407,1304843,2638
1,1.6,krys,1,false,0.79,7062,231,7062,231,744704,2476
1,1.6,krys,2,true,1.00,6800,287,6799,206,662471,2751
1,1.6,krys,3,false,0.70,32507,999,32507,999,3642212,3324
1,1.6,krys,4,true,1.00,9104,325,9103,276,926926,2694
1,1.6,krys,5,true,1.00,1119,264,1117,34,121715,2495
1,1.6,krys,6,true,1.00,6371,297,6370,193,703203,2974
1,1.6,krys,7,true,1.00,6308,292,6306,191,685592,2319
1,1.6,krys,8,true,1.00,6526,280,6525,198,650658,2787
1,1.6,krys,9,true,1.00,5520,286,5519,167,643675,3071
1,1.6,krys,10,true,1.00,7631,291,7630,232,821114,2711
1,1.6,krys,11,true,1.00,6443,300,6441,195,626623,1923
1,1.6,krys,12,false,0.70,32446,999,32445,999,3528522,2467
1,1.6,krys,13,true,1.00,5279,271,5278,160,555423,1642
1,1.6,krys,14,false,0.79,32492,999,32492,999,3511476,1671
1,1.6,krys,15,false,0.80,7399,233,7399,233,845302,2750
1,1.6,patternCount,1,false,0.71,8057,257,8056,257,870758,1326
1,1.6,patternCount,2,true,1.00,64,338,61,2,6288,1057
1,1.6,patternCount,3,true,1.00,3768,350,3766,114,418982,1052
1,1.6,patternCount,4,true,1.00,3367,348,3365,102,372738,2212
1,1.6,patternCount,5,true,1.00,589,344,586,18,66353,2218
1,1.6,patternCount,6,true,1.00,59,340,56,2,6291,360
1,1.6,patternCount,7,true,1.00,27,336,23,1,2464,593
1,1.6,patternCount,8,true,1.00,5487,356,5485,166,643343,2216
1,1.6,patternCount,9,true,1.00,2050,340,2047,62,224198,1068
1,1.6,patternCount,10,true,1.00,35,331,32,1,3112,789
1,1.6,patternCount,11,true,1.00,6402,353,6398,194,652657,1153
1,1.6,patternCount,12,true,1.00,2839,338,2837,86,325369,2361
1,1.6,patternCount,13,true,1.00,34,340,31,1,3352,499
1,1.6,patternCount,14,true,1.00,64,325,61,2,6688,895
